uid,time,text,keywords,sentiment_gpt
中國國民黨_鄭麗文,2021-05-26 15:02:20,"疫情高度升溫⚠️
明日立法院將針對紓困條例的展延、
新的紓困防疫預算編列及使用 來進行朝野協商
同時，國民黨提出以下10大訴求
希望行政院能夠正視全台人民的呼聲‼

1️⃣全民免費施打疫苗
陳時中部長昨天說台灣要到八月
才會有1000萬劑的疫苗，
蔡英文總統說其中的200萬劑
是之前跟國外採購的疫苗，
其他很有可能都是國產疫苗。
#那之前一直說要買的500多萬劑莫德納呢?
我們到底有沒有辦法跟美國買到疫苗?
蔡政府必須給全民一個交代!
如果真的買不到，
那我們是不是要趕快找別的方法
而不是在這裡坐困愁城!?

2️⃣醫護警消 優先施打
站在第一線的非常辛苦的醫護人員、警消人員
在疫苗來了以後，
必須第一時間讓他們優先施打
同時，維持民生的 #外送、#物流人員
他們也面臨極高染疫的風險，
也應列入優先施打對象

3️⃣廣設快篩 即時滅毒
#只有在全台各地廣設快篩站 
#才能趕快把病毒找出來
並在最短的時間之內讓傳染快速降溫

4️⃣力薦賴清德 統籌全局
陳時中部長昨天在記者會哽咽說
為什麼有人要去茶店？ 
為什麼還有人不戴口罩？ 
這讓我們非常憂心
陳時中部長的身心健康狀況
是不是已經瀕臨極限?
蔡總統不要再躲在第二線
#應該讓公衛出身的賴清德出面擔任指揮官!

5️⃣普發照顧津貼 安心防疫
全台因為停課
很多爸媽必須請防疫照顧假
在家照顧孩子
而政府要如何落實
讓所有僱主在勞工申請防疫照顧假時
不可拒絕、或用各種方式施以壓力
#確保勞工可以順利請假照顧小孩?
新的紓困條例也應該加入發放
讓大家能夠放心防疫照顧的 #生活津貼
來紓解年輕夫妻的壓力!

6️⃣打開採購黑箱 加速採購
疫苗調閱小組雖然已成立
#台灣現在對外採購的進度跟內容
#依舊是黑箱、#全面蓋牌
陳瑩召委從未召開會議
蔡政府有責任讓國人知道
我們到底有沒有辦法跟美國買到疫苗?
如果真的買不到，
蔡政府必須告訴國人替代方案是什麼!

7️⃣爭取疫苗代工 突破採購困境 
一年多以來，以色列、新加坡、南韓政府
全都使出渾身解數搶購疫苗
#台灣在爭取疫苗上面毫無章法
到現在都是交白卷!
韓國都已經爭取到莫德納疫苗的代工
台灣為什麼不能呢？

8️⃣普發志工醫護 防疫獎勵津貼
應該學習世界各國徵召退休的醫護人員 
一起加入防疫的行列
提供他們相關訓練 並發放 #獎勵津貼
讓他們進行快篩工作
減輕目前醫護龐大的工作壓力

9️⃣擴大紓困範圍 貸款還款展延
過去一年的紓困 人民怨聲載道 
真正需要幫助的人
想申請政府紓困補助卻是非常困難!
這次我們要求應擴大紓困範圍
尤其首當其衝的餐飲業、觀光業…
針對不同行業提供賦稅減免、低利貸款 
行政院一定要在最短時間內
盤點台灣百工百業的經濟狀況
#讓救急的錢能夠及時的到人民手中!

🔟強化軍中防疫 維持國防戰力
疫情當頭 國家安全仍舊非常重要
#軍中的防疫絕對不可以忽略
也千萬不能成為防疫破口!
我們要求行政院重視軍隊防疫 
#國軍必須優先施打疫苗
並請國防部徹底全面檢討軍中的防疫措施!",['普發+紓困'],NEUTRAL
中國國民黨_鄭麗文,2021-05-26 19:00:23,"【國民黨十大訴求】
1️⃣#全民免費施打疫苗
2️⃣#醫護警消優先施打
3️⃣#廣設快篩即時滅毒
4️⃣#力薦賴清德統籌全局
5️⃣#普發照顧津貼安心防疫
6️⃣#打開採購黑箱加速採購
7️⃣#爭取疫苗代工突破採購困境
8️⃣#普發志工醫護防疫獎勵津貼
9️⃣#擴大紓困範圍貸款還款展延
🔟#強化軍中防疫維持國防戰力

https://www.youtube.com/watch?v=AYGiOkwbDZE

YOUTUBE.COM
【鄭麗文】記者會，疫情當頭 扶危濟急 展延紓困 刻不容緩!",['普發+紓困'],POSITIVE
民主進步黨_何欣純,2021-05-28 16:51:17,"紓困4.0，建議 #排富
#普發紓困金，簡單便民更即時",['普發+紓困'],POSITIVE
中國國民黨_鄭麗文,2021-05-28 22:45:20,"國民黨每天將持續的追蹤疫情發展
幫我們所有老百姓請命
並且強力監督蔡政府! 💪🏻

這兩日的朝野協商
國民黨提出的三大訴求: 
1️⃣全民免費施打疫苗
我們要求蔡政府必須在六月間
拿到足夠數量的疫苗
並盡速讓全台人民免費施打
15萬劑的莫德納仍是杯水車薪
無法解救燃眉之急
而我們更沒有辦法等到八月!! 
如果像AIT所說的
在短期之內我們無法得到
美國實質上的援助
在取得更多莫德納疫苗上
也不會有太大的突破跟進展
蔡政府應該立即思考
如何才能夠在最短時間之內
取得全民可以免費施打的疫苗!
#不要再開空頭支票
#也不要不負責任的
#拿未做三期試驗的本土疫苗
#將全台人民當成實驗的白老鼠!

另外，新的一批AZ疫苗抵台
但蔡政府依然用大小眼來分配疫苗
全國人口數最高、確診人數最高的新北市
分配到的疫苗數量卻比台北市、
甚至高雄市還要更少‼
這不是政治防疫是什麼?🤬
新北市第一線的醫護、警消人員
每天在高危險的熱區
辛苦的進行防疫工作
蔡政府在疫苗分配上卻獨厚人口數、
確診人數上都不比新北市的高雄？
這樣的疫苗分配，叫新北市民情何以堪？
民進黨到今天心中還是 #只有選票
#只有藍綠 #沒有人民
我們嚴正要求指揮中心矯正這種錯誤的心態！
並且給所有新北市民一個合理的交代！

2️⃣普發現金
疫情來勢洶洶，百業蕭條
政府不能夠再像過去一年這麼的沒有效率
讓真正需要補助的老百姓
沒有辦法得到及時雨
所以國民黨要求立即普發現金
美國隨便一個州 都比台灣還大
為什麼人家能夠做到普發現金 台灣做不到？
台灣為什麼什麼都比人家落後?

3️⃣要普篩
最後呼籲中央必須謙虛的聆聽
很多專家學者給我們的誠懇建議
我們也從很多其他國家的經驗看到
防止病毒蔓延 #就是要普篩
我們要求全國要廣篩
只有在短時間之內找出病毒
才能不讓病毒繼續蔓延下去
在過去這段時間
媒體披露 社交距離APP 在沒有法源 
沒有司法單位、法院授權 沒有通知人民的狀況下
#淪為政府監控人民的機器!
今天的防疫中心已經變成太上皇
完全不顧人民的隱私權
給萬華民眾貼上標籤、扣上帽子
另外，5月17號疾管局的網站上
#確診的案例數字破千
沒想到 被發現之後
疾管局又把數字校正回歸了
#究竟還有哪個數字我們可以相信?
#究竟還有哪個保證政府能夠兌現?
蔡政府叫百姓怎麼辦?

https://www.youtube.com/watch?v=-z8DrSxJLQw",['普發現金'],NEGATIVE
中國國民黨_鄭麗文,2021-05-31 18:19:37,"今天是立法院本會期的最後一天議程
經過協商後，我們通過了 #嚴重特殊傳染性肺炎防治及紓困振興特別條例
因為疫情延燒，百工百業叫苦連天
百姓的生活亟待政府有效能的紓困
所以今天通過了2100億 再加2100億
總共4200億的紓困預算⚠️

國民黨已經爭取到的訴求:
1️⃣全民免費施打疫苗
2️⃣所有第一線醫護、警消及外送人員
必須優先施打疫苗
3️⃣全國廣設快篩站
盡速將已感染的人口找出來
全面防堵疫情擴散
4️⃣普發學生停課的家長照顧津貼
5️⃣貸款還款立即展延
6️⃣由地方支配的紓困預算 從原本的6%提高到10%
讓地方政府能夠得到足夠資源進行防疫相關工作
7️⃣離島港口、機場全面設置快篩站
8️⃣下會期一開議立即在衛環委員會
成立 #疫苗採購調閱小組
(不管是跟國外或是國內廠商簽約
都應接受國會監督!)

另外，今日我們也特別要求衛福部
針對以下問題進行詳細的說明!
一、
機師3+11天的破口 引爆全台疫情 
這個錯誤的政策 
難道不需要有人負責嗎? 
陳部長一開始公然說謊 
甩鍋給陳宗彥 隔天立刻改口 
承認是自己負責
究竟真相是什麼? 
我們要求衛福部提出說明!
二、
BNT疫苗採購的失敗
衛福部竟說是因為BNT無藥證、無緊急授權
事實證明再一次被打臉
明明陳時中有宣佈
BNT已取得我國緊急使用授權
#為什麼已經公開的政府公文 
#最後臨時撤下?
#然後陳部長改口說沒有緊急授權?
這中間到底有什麼不可告人的祕密?

最後，國民黨團接下來要全力、
強力監督的三大重點
【一】
現在有關蔡政府與指揮中心
刻意不讓台灣取得國際上的疫苗
就是要炒作、護航高端疫苗股票的陰謀論四起
寧可拿沒有做三期試驗的疫苗
拿國人健康來當白老鼠
到底是為誰圖利?
#民進黨必須讓全民知道
#國產疫苗的採購內容!
必須全部攤在陽光底下!
【二】
蔡政府無能 台灣沒有疫苗
但最近我們看到民間宗教團體、企業
紛紛開始採購疫苗 捐贈國人施打
就這件事 我們呼籲蔡政府
#不要再刁難! 不要再用政治防疫!
#盡速讓這些合格的國際疫苗
(包括郭台銘的BNT、佛光山的嬌生)
能夠順利盡速抵達台灣!
【三】
由於蔡政府、陳時中的所有承諾一再跳票，
已經完全沒有公信力可言
疫苗採購全面蓋排、黑箱! 
真相到底是什麼?
因此，#國民黨即日起
#成立疫苗採購的真相委員會
#全力來偵查、#調查疫苗的採購真相
給全國人民一個交代!

最後，再次要求陳時中部長及指揮中心
必須換腦袋!換心態!
#全民的生命已經危在旦夕!
#不要再用政治來防疫!!

https://www.youtube.com/watch?v=Z8CxNHR6D9s",['普發+紓困'],NEGATIVE
台灣民眾黨_賴香伶,2021-06-02 11:43:37,"#紓困勿重蹈覆轍　#救救基層勞工

疫情延燒，紓困4.0在5月31日於立法院三讀通過，預算一口氣追加到8400億元，但仍存在許多問題沒有修正。我與台北市總工會理事長、台北市議員林國成召開線上記者會，針對執政黨所通過的紓困4.0「#舊瓶裝新酒」的問題，以及民眾真正的需求進行說明。

紓困4.0的方案跟2020年的版本差異甚微，包括勞工紓困不平等、急難紓困條件不合理、申請程序繁瑣、只針對特定業別紓困等問題都沒有解決。但 #今年跟去年的疫情情況完全不同，#持續近個月的第三級警戒重創餐飲業以及微型企業，受雇的勞工連帶受到影響。有家長請假一個月但卻僅獲得1萬津貼補助，但家長請假的損失可能超過3、4萬，根本不夠家庭的飲食等生活費用，這都是政府該正視的問題。

包括新加坡、韓國、日本、美國都採取 #全體國民普發現金 的紓困方式，金額從一萬到三萬餘元不等，台灣也應可從善如流，中央紓困應該採取排富的普發現金策略，將收入沒受疫情影響的高所得、高資本利得、高資產的人排除，行政院也應傾聽基層民眾的苦難，有勇氣做出普發現金的策略，才不會讓更多悲劇發生。

林國成議員也說，行政院長蘇貞昌號稱紓困4.0將個人加快，並強調產業加強、貸款加碼，但 #自營作業者還是有投保薪資2萬4000元天花板，絲毫不見減少，許多中高齡勞工投保薪資雖然超過2萬4000元，但這幾個月收入不到1萬元。政府不能拿舊的方案混充為新的紓困計畫，我們不能重蹈覆轍，政府也應該加大急難救助津貼的預算與定義範圍，才能照顧到最艱困的無薪或停薪勞工、失業勞工。

如今立法院提高了特別預算上限到8400億，政府務必要釐清：預算怎麼花、誰可以領補助、誰又為什麼不行領補助？別讓真正需要紓困的民眾被遺忘。若政府只是打著紓困的名義，利用補助來排擠其他特定族群受領的機會，那不如 #仿照日本或韓國採取普發紓困津貼，才能讓所有民眾都能領到補助度過困境，做到救急、救疫情、救台灣。","['普發現金', '普發+紓困', '普發+1萬', '普發+一萬']",NEGATIVE
無黨籍-中國國民黨_林為洲,2021-06-02 12:20:51,"針對增加4200億的紓困預算審查，剛剛黨團內部會議，初步結論：

全民普發10000元現金。

最簡便，不必申請，不會群聚。","['全民普發', '普發+紓困', '普發+10000']",POSITIVE
中國國民黨_洪孟楷,2021-06-02 13:45:32,"萬事莫如紓困急！新增紓困預算，要求政府應全民普發10000元現金，助全民渡過難關。

這波疫情嚴峻，許多的國人確實生計上已經出了問題。每天辦公室、服務處電話爆線，更多的是建議政府直接給予最實質的紓困計畫。發現金最直接，也是最能照顧大眾，更是能解燃眉之急的方式。

對比世界各國，都有在過去疫情嚴峻時發現金的做法，包括美國提供上千元美金的紓困現金、日本政府則每人一律發放10萬日圓。這些都是非常時期的做法，也確實有發揮一定程度的幫助。

發現金最簡便，不需要再印製或是等待；發現金最快速，能夠劍及履及提供國人；發現金最即時，這將是家庭三餐溫飽的救命錢！發現金直接入戶頭，避免排隊及群聚，不會影響防疫工作的進行。請政府聽見國人的心聲，紓困不能也不應再等！

＃萬事莫如紓困急
＃發現金渡過難關","['全民普發', '普發+紓困', '普發+10000']",POSITIVE
中國國民黨_馬文君,2021-06-02 22:30:04,"#紓困補助
人人都有！
照顧全民，普發現金！","['普發現金', '普發+紓困']",POSITIVE
中國國民黨_林奕華,2021-06-03 17:02:52,"▍持續爭取普發現金，才能滴水不漏！真正幫助到所有人民！
希望因老人及身障日照中心停止收托的家庭照顧者也能獲得一萬元補助▍

這波疫情，所有人都受到影響，政府陸續推出的紓困方案，對很多人來說還是看得到領不到，我和立法院國民黨團還是持續要求，希望可以 #普發現金，最簡便，直接入帳不必申請，不用等待，不會群聚。我的辦公室和線上服務表單，每天都有許多民眾湧入詢問，政府規劃了這麼多方案，來電表示方案雖多卻都不符合資格，無法領到補助！希望政府可以傾聽人民的心聲，給予最實際紓困計畫普發現金，紓困救命錢真的不能再等了！

✅#爭取老人及身障日照中心停止收托的家庭照顧者也有一萬元補助
政府的紓困方案實在不夠主動體察民情，還是一貫地我主張到哪，政府才做到哪，包括原來紓困方案沒有家庭防疫補貼，也沒有想到托育機構和居家保母等等，因為我在立法院紓困條例修正時提出附帶決議，這次才有所採納。
最近又接到不少反映，認為家庭防疫補貼漏掉了也有請防疫照顧假的弱勢家庭，因為失能、失智的老人和身障日照機構也被政府要求停止收托，但他們卻被遺忘。我昨天再發出公文，希望衛福部和勞動部能進一步將 #家中有老人及身障日照中心停止收托的家庭照顧者 #列為家庭防疫補貼範圍，#比照家中有特教生或12歲以下孩童補助一萬元！

所有的民眾都在看，除了等待疫苗，希望行政院的紓困方案能繼續修正，政府不要再讓人民失望了！

✅更多紓困懶人包，請看行政院綜合業務處懶人包→ https://reurl.cc/NrX70q
📌勞動部懶人包→ https://reurl.cc/rga75b
📌農委會懶人包→ https://reurl.cc/En291n
📌衛福部懶人包→ https://reurl.cc/6ay1bO
📌教育部懶人包→ https://reurl.cc/En2xRm
📌經濟部懶人包→ https://reurl.cc/9rZl6X
📌交通部懶人包→ https://reurl.cc/6ay1lk
📌文化部懶人包→ https://reurl.cc/0jDA2A
📌財政部懶人包→ https://reurl.cc/pgml1b","['普發現金', '普發+紓困', '普發+一萬']",POSITIVE
無黨籍-中國國民黨_林為洲,2021-06-04 08:40:01,"【紓困補貼 普發現金最實在】

昨天(6/3)行政院公布 #紓困 4.0方案，還是有很多民眾看的到領不到，我會在立法院持續爭取， #普發現金 每人一萬元，不必額外申請、不用繁複手續，直接入帳，最簡便、不群聚，照顧到每一位受疫情影響的民眾，希望政府能真心苦民所苦。國民黨三大訴求：「一、要疫苗，二、發現金，三、廣普篩」，立即排富普發現金；全面篩檢防堵病毒擴散；盡速購買足夠的疫苗，免費全民施打，與人民同一陣線渡過嚴峻的疫情挑戰！

林為洲服務團隊

✅紓困4.0詳細資訊請參見各部會網址

📍行政院紓困振興專區
👉https://1988.taiwan.gov.tw/
📍行政院綜合業務處懶人包
👉https://reurl.cc/NrX70q

📍教育部官網
👉https://www.edu.tw/COVID-19/Default.aspx
📍教育部紓困懶人包
👉https://reurl.cc/En2xRm

📍勞動部官網
👉https://reurl.cc/oggxng
📍勞動部紓困懶人包
👉https://reurl.cc/rga75b

📍衛福部官網
👉https://covid19.mohw.gov.tw/ch/mp-205.html
📍衛福部紓困懶人包
👉https://reurl.cc/6ay1bO

📍經濟部官網
👉https://www.moea.gov.tw/Mns/covid-19/home/Home.aspx
📍經濟部紓困懶人包
👉https://reurl.cc/9rZl6X

📍交通部官網
👉https://reurl.cc/2rbxqv
📍交通部紓困懶人包
👉https://reurl.cc/6ay1lk

📍文化部官網
👉https://www.moc.gov.tw/content_434.html
📍文化部紓困懶人包
👉https://reurl.cc/0jDA2A

📍農委會官網
👉https://www.coa.gov.tw/COVID_19/index.php
📍農委會紓困懶人包
👉https://reurl.cc/En291n

📍財政部紓困懶人包
👉https://reurl.cc/pgml1b","['普發現金', '普發+紓困', '普發+一萬']",POSITIVE
中國國民黨_楊瓊瓔,2021-06-04 11:16:26,"📢瓊瓔報你知📢
✔️秒懂紓困4.0補助

行政院公布紓困 4.0方案，瓊瓔整理表格讓大家一目了然！

除了現有補助方案，國民黨還希望可以✔️全民免費施打疫苗、✔️普發現金紓困，我們將持續爭取，苦民所苦，大家一起努力度過疫情難關！

🌟行政院紓困振興專區
👉🏼https://1988.taiwan.gov.tw/","['普發現金', '普發+紓困']",POSITIVE
